From	To
P48347-2	NM_179367.2
Q9S9Z8-3	NM_103196.4
P42644-2	NM_001344251.1
P42644-2	NM_001344252.1
P48349-2	NM_001203347.1
P48348-2	NM_125941.2
P92177-2	NM_169797.3
P92177-4	NM_169799.2
P92177-1	NM_169798.3
P29310-2	NM_001014516.2
P29310-2	NM_165741.3
P29310-2	NM_165742.2
P29310-2	NM_165745.3
P29310-2	NM_206070.2
P29310-3	NM_165743.3
P29310-3	NM_165744.3
Q06402-2	NM_179241.1
A2AIG8-2	NM_183220.3
A2AIG8-2	XM_006499763.2
A2AIG8-2	XM_006499764.2
A2AIG8-2	XM_006499765.2
A2AIG8-2	XM_006499766.2
Q15172-2	NM_001199756.1
Q14738-2	NM_180976.2
Q14738-3	NM_180977.2
Q16537-2	NM_001282180.1
Q16537-3	NM_001282181.1
Q16537-3	NM_001282182.1
Q13362-2	NM_178587.2
Q13362-3	NM_178586.2
Q13362-4	NM_001161726.1
Q13362-5	NM_001161725.1
Q60996-2	NM_001081458.2
Q60996-3	NM_001081457.2
P30154-2	NM_181699.2
P30154-3	NM_181700.1
P30154-4	NM_001177562.1
P30154-5	NM_001177563.1
Q5QIT3-2	NM_180758.1
Q84JI6-2	NM_001331448.1
Q84JI6-2	NM_001331449.1
Q84JI6-2	NM_202028.3
Q38821-2	NM_202274.2
P36872-2	NM_057533.3
P36872-2	NM_134284.3
P36872-2	NM_134285.2
P36872-2	NM_134286.3
P36872-2	NM_169330.2
P36872-2	NM_169331.2
P63151-2	NM_001177591.1
Q39247-2	NM_179350.4
Q00005-2	NM_181676.2
Q00005-3	NM_001271899.1
Q00005-4	NM_001271900.1
Q00005-5	NM_181674.2
Q00005-6	NM_001271948.1
Q00005-6	NM_181678.2
Q4R8L3-2	XM_005558159.1
Q4R8L3-2	XM_015452088.1
Q6ZWR4-2	NM_028392.3
P36877-2	NM_022209.3
Q9Y2T4-2	NM_181876.2
Q9Y2T4-3	NM_001206996.1
Q9Y2T4-4	NM_001206994.1
Q9Y2T4-4	NM_001206995.1
